Ukazatel;2026-03-31;2025-12-31;2025-09-30;2025-06-30;2025-03-31;2024-12-31;2024-09-30;2024-06-30;2024-03-31;2023-12-31;2023-09-30;2023-06-30;2023-03-31;2022-12-31;2022-09-30;2022-06-30;2022-03-31;2021-12-31;2021-09-30;2021-06-30;2021-03-31;2020-12-31;2020-09-30;2020-06-30;2020-03-31;2019-12-31;2019-09-30;2019-06-30;2019-03-31;2018-12-31;2018-09-30;2018-06-30;2018-03-31;2017-12-31;2017-09-30;2017-06-30;2017-03-31;2016-12-31;2016-09-30;2016-06-30;2016-03-31;2015-12-31;2015-09-30;2015-06-30;2015-03-31;2014-12-31;2014-09-30;2014-06-30;2014-03-31;2013-12-31;2013-09-30;2013-06-30;2013-03-31;2012-12-31;2012-09-30;2012-06-30;2012-03-31;2011-12-31;2011-09-30;2011-06-30;2011-03-31;2010-12-31;2010-09-30;2010-06-30;2010-03-31;2009-12-31;2009-09-30;2009-06-30;2009-03-31;2008-12-31;2008-09-30;2008-06-30;2008-03-31;2007-12-31;2007-09-30;2007-06-30;2007-03-31;2006-12-31;2006-09-30;2006-06-30;2006-03-31;2005-12-31;2005-09-30;2005-06-30;2005-03-31;2004-12-31;2004-09-30;2004-06-30;2004-03-31;2003-12-31;2003-09-30;2003-06-30;2003-03-31;2002-12-31;2002-09-30;2002-06-30;2002-03-31;2001-12-31;2001-09-30;2001-06-30;2001-03-31;2000-12-31;2000-09-30;2000-06-30;2000-03-31;1999-12-31;1999-09-30;1999-06-30;1999-03-31;1998-12-31;1998-09-30;1998-06-30;1998-03-31;1997-12-31;1997-09-30;1997-06-30;1997-03-31;
Celkem;1251912.3;1221806.3;1210263.2;1250444.7;1231261.2;1236482.9;1213118.1;1199567.1;1221128.5;1170776.5;1108783.9;1040293.6;1015694.3;975942.8;964709.4;860042.2;788552.8;740070.5;715533.1;670855.6;733966;721560.7;766536.6;760265.3;788725.8;671918.6;706599.6;677583.6;684274.2;653774;684375.3;646348;631949.9;582062;658418.4;637888.7;663115.3;578459;569937.3;558486.5;547853;519748.9;514629.3;479793.8;484627.7;490715.6;454160.1;456447.4;442058.8;457604.5;403522;400933.8;384657.2;345737.8;341458.7;352602.9;331227.6;342809.6;309765.5;286286.8;284119.7;299246.4;272158.7;281598.8;267767.2;281996.5;261698.2;268021.8;286633.5;291816.2;265318.8;239546.4;232511.5;230291.7;230190.7;230645.7;202540.6;191528.2;183510.5;179153.5;165117;152643.1;167122.9;155680.7;152489.5;134968.8;136415.5;137310;138288.1;134519.7;128168.2;128743.1;131306.3;141075.4;132901.2;131366.4;148351.7;170172.5;211860.7;224858.7;231404.7;226482.5;234637.8;238836.8;239882.2;250757.2;255953.8;271277.1;293906.9;255302.5;249875.8;248469.3;220264.8;217874.3;196766;186833.9;157176.1;
    Rezidenti;917319.4;894353;886734.4;921815.3;919269.2;908381.9;902102.8;887956.6;890196;853854.6;816218.8;768052.8;739146.3;701245.9;700540.3;606561.8;543967.1;498056.2;469734.8;436883.3;475241.1;461672.8;513248.4;505968.8;530528.5;438281.5;463457.1;443579.3;439339.3;403456.9;446563.2;420483.4;406610.7;360253.5;422195.4;401346.1;411673;333203.5;327140.3;310379.3;294984.7;263717.5;260176.8;244290.4;239107.3;245451.7;215847.6;224367.9;215211.3;225825;194019.1;192833.8;194677.5;177726.3;176345.8;187995.8;180274.8;185363.7;171512.9;162572.7;159382.4;166775.1;154191.8;162437.7;164244.4;171658.9;160325.7;167614.3;179973.6;183623.7;168488.9;151664.5;149144.6;152581.4;158082.7;160416.5;147138.9;138919.9;130048.5;127455.6;115980.3;110630;113100.1;107796.3;109515.3;102806.9;105416.8;105351.4;106581.8;104396.7;99472.7;100414;101212.2;109851.8;100825.5;99957.1;109156.1;128825.4;149035.2;154088.4;159235.1;164688.4;175595.6;178735.4;190266;193906.4;201254.5;215917.6;236579.6;213849.5;210245.6;208674.9;197154.8;200257.7;183091.8;173619.4;147281.4;
        Nefinanční podniky;748130.4;720560.8;716501.1;741428.2;744545.3;749946.7;749760.9;721492.4;728925.6;694298.2;666692.3;628463.5;591229.6;562206.4;572654.5;494308.2;448493;411162.4;393623.4;362836.2;394647.6;395427.9;422661.3;418806.8;425318.7;373345.8;376227.2;344159.6;345352.6;336138.5;339228.7;322872.1;301560.7;302138.7;308338.6;299418.2;306582.6;271495.9;257541.7;240590.5;236576.9;210279.2;206566.8;197366;192802.3;199332.4;177985.6;186702.9;180604;192729.4;164918.5;161797.9;160745.9;150536.9;149652.9;160266.1;154343.8;158673.4;148050.9;140054.6;136627.2;144391.3;131795.4;139340;140489.9;146115.1;135662;140786.3;151511.4;155879.5;140874.9;127933.5;125977;126746.8;135711.5;137906.7;125363.6;118273.1;109813.4;108589.7;98194.7;93026.6;96211.8;90419.5;92106.5;85652.7;88261.5;86971.2;88904.8;84947;81814.5;83346.3;85421.9;88468.2;84794.6;85942.5;91730.7;105631.6;119024.2;124941.6;129152.6;134631.4;145690.3;148175.4;154417;166954.1;174224.5;189355.1;206443.9;190030.7;188426;187980.7;181890.9;186596.5;172696;164000.7;140466.1;
        Finanční instituce;154391.8;153934.9;150565.1;160483.7;154007.9;148793.3;143176.3;157585.9;151669.5;150686;141184.9;131589.1;139924.1;130300.7;115416.5;105398.4;89774.2;81880.2;70780.3;69087;75750.9;61251.9;85924.9;79858.3;100695.2;60555.5;82660.4;94652.4;89318.3;62582.7;102620.1;92882.6;100524.8;53577.9;108473;96333.7;99437.4;56664.1;64588.1;64209.3;52845.9;47604;47798.7;40794.3;40231.2;39425.1;31401;31051.6;27714.5;25922.3;22282.8;22769.4;26411.3;19397.5;19116.4;19919.1;18423.7;18908.5;16186.8;15439.7;15635.4;14818.3;14988.8;15513.4;16319.2;17978.6;17593.7;19797.5;21053.3;20481.6;20883.9;17320.8;16378.7;18646.9;14880.3;14680.2;14065;13027.2;12478.9;10969.1;9858.5;9516.5;8635.5;8921.7;9144.6;8772.1;8453.1;9754.7;8716.2;10382.6;8174.4;8232.6;6344.7;11394.2;6372;4416.7;6588.7;4765.3;4940.8;4883.5;5565;7188.5;8127.2;8096;8378.3;5942.2;6721.1;5952.2;7906.4;6144;4671.6;5681.2;4005.2;5067;3709.8;3598.6;1866.2;
        Vládní instituce ;5988.3;11709;11708;11929.7;11791.7;4.4;1.1;1.2;33.3;8.1;8.4;8.8;20.3;1227;5061.9;153.4;292.8;294;436.4;436.2;598.9;601.2;767.2;3428.2;928.9;863.8;1014.1;999.4;1162.8;1166.8;1302.4;1317.9;1435.5;1583;1748.3;2047;2262.3;2547.4;2686.5;2990.8;3138.9;3427.6;3592.6;3895.8;4095.3;4424.1;4532.1;4820.6;4977;5270.8;5084.4;5436.5;5550.4;5707;5807.9;5919.2;5753.5;6002.4;5759.8;5673.9;5718.2;6034.6;5897.9;6148;6120.5;6313.8;6005.9;6018.2;6338.1;6170.4;5747.2;5482.1;5769.3;6078.1;6335.1;6594.4;6459.3;6434.4;6606.4;6674.1;6752.5;6907.5;7033.9;7175.3;7170.2;7339.1;7649;7675.4;7958.5;7777.1;8535.3;7858.1;8250;8732.8;8385.7;7945.7;7520.6;14778.7;21039.6;20487.3;19879.4;20508.4;19862.3;20395.4;18778.6;17538.8;16729.3;16555.9;17966.4;14120.7;12424.9;10168.2;6115.4;2496;1295.8;1219.5;332.1;
        Domácnosti + Neziskové instituce sloužící domácnostem;8808.8;8148.4;7960.1;7973.7;8924.3;9637.5;9164.5;8877;9567.6;8862.2;8333.3;7991.4;7972.3;7511.9;7407.6;6701.8;5407.1;4719.6;4894.8;4523.8;4243.7;4391.8;3895;3875.7;3585.9;3516.4;3555.3;3768;3505.7;3568.9;3412.1;3410.8;3089.7;2953.8;3635.4;3547.2;3390.6;2496.2;2323.9;2588.7;2423;2406.5;2218.6;2234.4;1978.5;2270.2;1929;1792.8;1915.8;1902.6;1733.4;2829.9;1969.8;2084.9;1768.7;1891.3;1753.9;1779.4;1515.5;1404.6;1401.5;1530.9;1509.9;1436.5;1314.8;1251.4;1064.1;1012.2;1070.9;1092.2;983;928;1019.6;1109.6;1155.9;1235.3;1250.9;1185.4;1149.9;1222.8;1174.6;1179.4;1219.1;1279.9;1094;1043;1053.2;950.2;1002.4;1290;948.7;977.1;1195.6;1256.6;1273.2;1652.3;3316.2;3649.9;4030.6;3776;4638.3;2360.1;1915.8;2068.7;8692.1;3471.3;3579.6;4054.4;4262.9;3554.1;4723.1;4844.8;5143.3;6098.2;5390.2;4800.6;4617;
            Živnosti;1342.1;1369;1467.6;1547;1535.4;1592;1852.1;1875.4;1941.9;1921.9;1914.9;1802.4;1636.7;1530.6;1425.3;1301.2;1159.3;1017.9;1037.9;1007.6;993.6;1015.8;1053.2;1071;1076.5;935.3;990.4;950.8;951.9;938.9;961.8;996;913.3;907.5;930.1;749.5;747.1;529.2;498;667.8;503.8;484.7;248.8;274;253.6;259.2;267.8;274;249.8;259.8;202.6;199.9;195.4;193.4;241.7;293.4;252.4;268.6;273.3;291.2;272.2;335.4;358.9;394.9;436.8;331.2;268.7;260.9;256.7;260.1;235.6;199.5;168.1;192.3;369.9;390;402.4;431.9;426;569.2;543.6;531.3;637.2;664.9;523.9;530.8;536.5;504.2;500.1;417.1;427;459.4;608.5;672;696.5;616.5;1544.5;1622.4;861.2;902.8;963.4;954.4;990.1;1108.2;7658.2;2341.5;2562.9;3187.8;3160.2;2648.2;3893.1;4067.2;4506.4;4741.2;4582.9;1959.1;461.7;
            Obyvatelstvo;7098;6416.6;6111.9;6040.3;6993.1;7560.2;6795.4;6468;7075.3;6389.9;5808.4;5594.6;5747.4;5367.1;5329.4;4740.2;3610.4;3213;3322;2970.5;2688;2812;2804.6;2775;2486.8;2565.6;2549.3;2796.5;2537.7;2612.5;2441.5;2408.2;2172.6;2041.5;2701.4;2794.2;2639.8;1963.5;1790.6;1878.6;1870.1;1860.7;1901.6;1884.7;1641.3;1914.8;1559.2;1397.6;1548.8;1491.2;1383.2;2474.2;1613.8;1725.9;1358.6;1419.8;1280.4;1253.6;1022.9;881.8;877.9;916.1;866.1;750.9;599.4;630.8;531.8;476.3;520;532.1;469.4;455.4;549.5;590.7;443.7;488.4;499.9;447.6;540.4;555.8;597.4;606;581.9;615;570;512.1;516.7;445.9;487.9;849.4;485.5;517.7;587.1;584.6;576.7;565.2;569.9;630.5;713.4;674.2;1332.8;1356;874.1;908;907.7;1068.9;954.5;810.2;1034.8;834.4;766.1;754.8;615.8;1333.1;785.4;2838.9;4021.5;
    Nerezidenti;334592.9;327453.4;323528.9;328629.5;311992.1;328101;311015.3;311610.5;330932.5;316921.9;292565.1;272240.8;276548;274696.8;264169.1;253480.5;244585.6;242014.2;245798.2;233972.4;258725;259887.8;253288.3;254296.4;258197.2;233637;243142.5;234004.4;244934.8;250317.2;237812.1;225864.5;225339.2;221808.5;236223;236542.7;251442.3;245255.5;242797.1;248107.1;252868.3;256031.4;254452.5;235503.5;245520.4;245263.9;238312.6;232079.5;226847.4;231779.5;209502.9;208100;189979.7;168011.4;165112.9;164607.1;150952.8;157446;138252.6;123714.2;124737.3;132471.3;117966.9;119161.1;103522.8;110337.7;101372.5;100407.4;106659.9;108192.6;96829.8;87881.8;83366.9;77710.3;72108;70229.2;55401.7;52608.3;53462;51697.8;49136.7;42013.1;54022.7;47884.4;42974.2;32162;30998.7;31958.6;31706.4;30123.1;28695.4;28329.1;30094.2;31223.6;32075.7;31409.3;39195.6;41347.1;62825.5;70770.3;72169.6;61794.2;59042.2;60101.4;49616.2;56850.7;54699.5;55359.3;57327;41452.9;39630.4;39794.5;23110;17616.9;13674.5;13214.6;9894.8;
